LATITUDE,LONGITUDE,DISTANCE_TO_CENTRAL,GEO_CLUSTER,MECHANISM_BINARY,SPECIES_LABEL
14.76,-17.4105,4079.7366529826077,4,0,4
12.252454,-1.047287,2287.182536414058,4,0,4
12.252454,-1.047287,2287.182536414058,4,1,7
12.252454,-1.047287,2287.182536414058,4,1,18
12.252454,-1.047287,2287.182536414058,4,0,17
1.43224,31.05338,1480.3523482539688,3,1,18
11.4894,-3.5219,2541.203591195135,4,1,7
11.4894,-3.5219,2541.203591195135,4,1,18
11.4894,-3.5219,2541.203591195135,4,1,17
11.4894,-3.5219,2541.203591195135,4,1,4
11.4894,-3.5219,2541.203591195135,4,1,18
11.4894,-3.5219,2541.203591195135,4,0,4
11.4894,-3.5219,2541.203591195135,4,0,7
-5.289,145.7441,14104.753860522762,2,0,13
-5.289,145.7441,14104.753860522762,2,0,13
-5.289,145.7441,14104.753860522762,2,0,14
-5.289,145.7441,14104.753860522762,2,0,14
-5.289,145.7441,14104.753860522762,2,0,25
-5.289,145.7441,14104.753860522762,2,0,25
6.61526,3.5069,1755.6717272378712,0,1,7
6.61526,3.5069,1755.6717272378712,0,0,7
6.61526,3.5069,1755.6717272378712,0,0,7
6.4397,3.408,1768.5303243530843,0,1,7
6.4397,3.408,1768.5303243530843,0,0,7
6.4397,3.408,1768.5303243530843,0,0,7
6.6825,3.3085,1776.8109960741497,0,1,7
6.6825,3.3085,1776.8109960741497,0,0,7
6.6825,3.3085,1776.8109960741497,0,0,7
6.5632,3.2532,1784.156666485844,0,1,7
6.5632,3.2532,1784.156666485844,0,0,7
6.5632,3.2532,1784.156666485844,0,1,7
6.5632,3.2532,1784.156666485844,0,0,7
6.6195,3.2999,1778.4111426466668,0,1,7
6.6195,3.2999,1778.4111426466668,0,0,7
6.6195,3.2999,1778.4111426466668,0,0,7
10.825,2.1094,1921.799146801355,0,1,17
0.919589,30.763099,1481.1735385233726,3,1,18
-5.6981,15.1375,1572.9120600472884,0,1,18
-7.930782,23.593192,1810.6300823192057,3,1,18
15.8172,-9.3819,3247.912904951142,4,1,17
15.8172,-9.3819,3247.912904951142,4,1,17
15.8172,-9.3819,3247.912904951142,4,0,17
11.4634,-4.318,2627.125854788795,4,1,7
11.4634,-4.318,2627.125854788795,4,0,7
11.4634,-4.318,2627.125854788795,4,1,7
11.4015,-4.4194,2637.3537357861,4,1,17
